0,1,2,3,4,5,6,7,8,9
1.0,0.30879843,0.25043336,0.29839623,0.34034696,0.46170616,0.3868163,0.60188955,0.35404313,0.18193564
0.30879843,0.9999997,0.35928428,0.23469052,0.40453643,0.2729804,0.13034683,0.21181592,0.3382932,0.39435452
0.25043336,0.35928428,1.0,0.09186676,0.3642431,0.124792285,0.26661655,0.1777402,0.18609893,0.047685847
0.29839623,0.23469052,0.09186676,1.0000001,0.16657197,0.24215628,0.15952098,0.17398587,0.30623224,0.17286444
0.34034696,0.40453643,0.3642431,0.16657197,1.0000002,0.28825733,0.2984037,0.24066415,0.45835537,0.16429207
0.46170616,0.2729804,0.124792285,0.24215628,0.28825733,1.0,0.39692026,0.30994523,0.25756374,0.29846874
0.3868163,0.13034683,0.26661655,0.15952098,0.2984037,0.39692026,0.9999997,0.21009657,0.15012139,0.07626462
0.60188955,0.21181592,0.1777402,0.17398587,0.24066415,0.30994523,0.21009657,0.99999994,0.18781707,0.22448432
0.3540431,0.33829322,0.18609893,0.30623227,0.45835537,0.25756374,0.15012139,0.18781707,1.0,0.18073525
0.18193564,0.39435458,0.047685843,0.17286444,0.16429205,0.2984687,0.07626464,0.22448432,0.18073525,1.0000002
