0,1,2,3,4,5,6,7,8,9,10
0.9999999,0.23714863,0.27253687,0.7895013,0.2669183,0.17197132,0.19842055,0.25509024,0.7888757,0.216928,0.68302214
0.23714863,1.0000002,0.3215894,0.24619253,0.25327772,0.14955047,0.41807476,0.28204775,0.107895255,0.06928289,0.039473556
0.27253687,0.3215894,1.0,0.090432964,0.27211383,0.1103195,0.15346768,0.3001778,0.06475466,0.123339206,0.016343255
0.7895013,0.24619253,0.090432964,1.0,0.21891119,0.24992543,0.34454992,0.38248616,0.77045786,0.17421904,0.6366788
0.2669183,0.25327772,0.27211383,0.21891119,0.99999976,0.37851447,0.27709213,0.42155096,0.2264243,0.28502595,0.14729911
0.17197132,0.14955047,0.1103195,0.24992543,0.37851447,1.0000002,0.40629232,0.34001398,0.32881826,0.36056697,0.24416007
0.19842055,0.41807476,0.15346768,0.34454992,0.27709213,0.40629232,1.0000004,0.5270928,0.15462439,0.122648515,0.12682971
0.25509024,0.28204775,0.3001778,0.38248616,0.42155096,0.34001398,0.5270928,1.0,0.26010683,0.20603089,0.16035199
0.7888757,0.10789526,0.064754665,0.770458,0.22642432,0.3288183,0.15462437,0.26010686,0.99999994,0.45180005,0.8518077
0.21692802,0.06928288,0.12333923,0.17421903,0.28502595,0.3605669,0.12264852,0.20603088,0.45180005,1.0000005,0.45031506
0.6830222,0.039473556,0.016343232,0.6366788,0.14729908,0.24416006,0.12682968,0.16035199,0.8518077,0.45031506,1.0000002
