0,1,2,3,4,5,6,7,8,9,10,11
0.9999999,0.5003633,0.19528718,0.13698949,0.17623124,0.22773886,0.33487466,0.25591278,0.31166303,0.18705869,0.20735002,0.1470982
0.5003633,1.0000005,0.34918144,0.20440051,0.14761525,0.29487228,0.18254071,0.2810171,0.25151503,0.07643382,0.28964967,0.14235938
0.19528718,0.34918144,1.0000002,0.036832117,0.087089896,0.15711519,0.074363045,0.30902478,0.18037695,0.06968357,0.13294211,-0.011127926
0.13698949,0.20440051,0.036832117,1.0000002,0.28631505,0.4906382,0.34147522,0.14037457,0.19402966,0.13647348,0.14279738,0.11697011
0.17623124,0.14761525,0.087089896,0.28631505,0.9999999,0.20388713,0.13995755,0.087920584,0.16600144,0.16808116,0.011590535,-0.031239482
0.22773886,0.29487228,0.15711519,0.4906382,0.20388713,1.0,0.39586976,0.20811751,0.41840214,0.07483186,0.22384281,0.05114472
0.33487466,0.18254071,0.074363045,0.34147522,0.13995755,0.39586976,0.9999998,0.16730106,0.2528466,0.13710167,0.21480489,0.1530059
0.25591278,0.2810171,0.30902478,0.14037457,0.087920584,0.20811751,0.16730106,1.0000002,0.20035094,0.10199541,0.14954497,0.025462039
0.31166303,0.25151503,0.18037695,0.19402966,0.16600144,0.41840214,0.2528466,0.20035094,1.0,0.1907256,0.10152465,-0.12054502
0.18705869,0.07643382,0.06968357,0.13647348,0.16808116,0.07483186,0.13710167,0.10199541,0.1907256,1.0000002,-0.0104576405,-0.04395319
0.20735002,0.28964967,0.13294211,0.14279738,0.011590535,0.22384281,0.21480489,0.14954497,0.10152465,-0.0104576405,1.0,0.3032837
0.1470982,0.14235938,-0.011127926,0.11697011,-0.031239482,0.05114472,0.1530059,0.025462039,-0.12054502,-0.04395319,0.3032837,1.0000005
