0,1,2,3,4,5,6,7,8,9,10
1.0000002,0.31768566,0.55030787,0.16487549,0.39815247,0.34115368,0.42428327,0.12653157,0.4532465,0.36733654,0.23811442
0.31768566,1.0000002,0.39133143,0.19358324,0.12643301,0.15153244,0.23009768,0.1586591,0.33704886,0.05907107,0.098243386
0.55030787,0.39133143,1.0,0.21077532,0.3115554,0.26710588,0.49174526,0.20209593,0.36545873,0.28120637,0.23179999
0.16487549,0.19358324,0.21077532,0.99999964,0.2619699,0.08838637,0.33145118,0.39850348,0.1987251,0.30390787,0.23741001
0.39815247,0.12643301,0.3115554,0.2619699,1.0000002,0.23986056,0.35426593,-0.0022759326,0.18419695,0.43119532,0.15137558
0.34115368,0.15153244,0.26710588,0.08838637,0.23986056,1.0000002,0.16012833,0.23912726,0.28946704,0.22280842,0.2117101
0.42428327,0.23009768,0.49174526,0.33145118,0.35426593,0.16012833,1.0000001,0.3555171,0.3435672,0.35691744,0.123602256
0.12653157,0.1586591,0.20209593,0.39850348,-0.0022759326,0.23912726,0.3555171,0.9999999,0.19856906,0.10437645,0.05459394
0.45324647,0.33704883,0.3654588,0.19872509,0.18419692,0.28946704,0.34356713,0.19856903,1.0000002,0.2047234,0.29086298
0.36733654,0.05907107,0.28120637,0.30390787,0.43119526,0.22280842,0.35691744,0.10437644,0.2047234,1.0000004,0.14382695
0.23811442,0.098243386,0.2318,0.23741004,0.15137556,0.21171011,0.12360224,0.054593943,0.29086298,0.14382695,1.0
