0,1,2,3,4,5,6,7,8,9,10,11
1.0000005,0.27883756,0.66573465,0.2282294,0.652336,0.6249418,0.26029104,0.34424642,0.48844284,0.30712178,0.29331255,0.15030429
0.27883756,1.0000005,0.22244161,0.26401505,0.19268411,0.361538,0.32438403,0.09646436,0.34918892,0.2312668,0.2615686,0.36871016
0.66573465,0.22244161,0.99999964,0.23142664,0.6513883,0.5841811,0.22038144,0.35704383,0.4548514,0.34876466,0.2644774,0.08681608
0.2282294,0.26401505,0.23142664,1.0,0.14883298,0.25607342,0.3957063,0.19570725,0.28172648,0.064982675,0.111286774,0.34157485
0.652336,0.19268411,0.6513883,0.14883298,1.0000007,0.546705,0.0674497,0.45070887,0.5214486,0.370845,0.2485731,0.030035097
0.6249418,0.361538,0.5841811,0.25607342,0.546705,0.99999934,0.2655788,0.2766314,0.51045614,0.27397344,0.29544544,0.2708695
0.26029104,0.32438403,0.22038144,0.3957063,0.0674497,0.2655788,1.0000004,0.24555376,0.1477221,0.21999496,0.1283844,0.38387543
0.34424642,0.09646436,0.35704383,0.19570725,0.45070887,0.2766314,0.24555376,0.99999994,0.3008538,0.36359197,0.32215542,0.05251898
0.48844284,0.34918892,0.4548514,0.28172648,0.5214486,0.51045614,0.1477221,0.3008538,1.0000002,0.22378159,0.22560969,0.12804031
0.30712178,0.2312668,0.34876466,0.064982675,0.370845,0.27397344,0.21999496,0.36359197,0.22378159,0.99999994,0.3900812,0.081815235
0.29331255,0.2615686,0.2644774,0.111286774,0.2485731,0.29544544,0.1283844,0.32215542,0.22560969,0.3900812,0.99999976,0.23359159
0.15030429,0.36871016,0.08681608,0.34157485,0.030035097,0.2708695,0.38387543,0.05251898,0.12804031,0.081815235,0.23359159,1.0000004
