0,1,2,3,4,5,6,7,8,9,10
0.99999994,0.4265893,0.4029094,0.50249493,0.594916,0.36549667,0.3436186,0.5646242,0.2682012,0.40531093,0.21951172
0.4265893,1.0,0.4755996,0.39917397,0.30450648,0.39523047,0.30210337,0.39207357,0.12500893,0.79866266,0.6312709
0.4029094,0.4755996,1.0000002,0.5238353,0.3824363,0.32210433,0.42710847,0.39385444,0.18094164,0.4505895,0.23197572
0.50249493,0.39917397,0.5238353,1.0000001,0.5495583,0.30117723,0.58076644,0.34815747,0.23598078,0.33621278,0.1632798
0.594916,0.30450648,0.3824363,0.5495583,0.9999999,0.20815688,0.31232095,0.4614787,0.4097334,0.26384994,0.049936257
0.36549667,0.39523047,0.32210433,0.30117723,0.20815688,0.9999999,0.35557413,0.8380656,0.1792215,0.36372536,0.27923676
0.3436186,0.30210337,0.42710847,0.58076644,0.31232095,0.35557413,1.0000004,0.30350223,0.0906032,0.33429152,0.15954351
0.5646242,0.39207357,0.39385444,0.34815747,0.4614787,0.8380656,0.30350223,0.9999995,0.26538652,0.37826046,0.22810763
0.2682012,0.12500891,0.18094161,0.23598081,0.40973333,0.17922148,0.0906032,0.26538655,0.99999994,0.045544222,0.060855646
0.40531102,0.7986627,0.45058948,0.33621278,0.26384994,0.3637254,0.33429155,0.37826052,0.045544222,0.99999964,0.6881995
0.21951176,0.63127095,0.23197575,0.16327982,0.049936265,0.27923673,0.15954353,0.22810765,0.060855646,0.6881995,1.0
