0,1,2,3,4,5,6,7,8,9
0.99999994,0.34500062,0.4596119,0.74111855,0.19788921,0.3107285,0.28667527,0.43992782,0.16166368,0.08755073
0.34500062,1.0000002,0.08129125,0.16086781,0.08151391,0.08107551,0.19113141,0.31162518,0.31529677,0.045463562
0.4596119,0.08129125,0.99999946,0.42083848,0.2944827,0.35015786,0.31017792,0.22698279,0.1802274,0.19651493
0.74111855,0.16086781,0.42083848,0.9999998,0.15460837,0.34813112,0.26777628,0.42988908,0.09514028,0.03758973
0.19788921,0.08151391,0.2944827,0.15460837,0.99999964,0.302886,0.3208127,0.18845224,0.23511472,0.024507672
0.3107285,0.08107551,0.35015786,0.34813112,0.302886,0.99999976,0.18791714,0.39971557,0.10558696,-0.06183172
0.28667527,0.19113141,0.31017792,0.26777628,0.3208127,0.18791714,1.0000004,0.31577677,0.3564536,0.036060624
0.43992782,0.31162518,0.22698279,0.42988908,0.18845224,0.39971557,0.31577677,0.9999994,0.39684793,0.015228336
0.16166368,0.31529677,0.18022743,0.09514026,0.23511475,0.105586976,0.35645354,0.39684796,1.0000002,0.10019508
0.08755073,0.045463566,0.19651493,0.03758972,0.024507668,-0.06183173,0.03606063,0.015228331,0.10019508,1.0
