0,1,2,3,4,5,6,7,8,9
1.0,0.38647556,0.3399971,0.45776436,0.3291513,0.5269018,0.38697916,0.33919665,0.24163401,0.67576796
0.38647556,1.0,0.1939509,0.41440058,0.30158928,0.31334248,0.16379736,0.20405293,0.1666954,0.31499714
0.3399971,0.1939509,0.9999997,0.11534069,0.2249931,0.1784273,0.26712167,0.15493047,0.08953358,0.35499522
0.45776436,0.41440058,0.11534069,0.9999998,0.32800668,0.44293326,0.1542189,0.26311916,0.15102042,0.40360132
0.3291513,0.30158928,0.2249931,0.32800668,1.0000005,0.26819685,0.27701196,0.21034719,0.12671128,0.27584788
0.5269018,0.31334248,0.1784273,0.44293326,0.26819685,0.9999998,0.26441282,0.2925318,0.3252236,0.5491556
0.38697916,0.16379736,0.26712167,0.1542189,0.27701196,0.26441282,1.0,0.24640645,0.5203202,0.29024333
0.33919665,0.20405293,0.15493047,0.26311916,0.21034719,0.2925318,0.24640645,1.0000002,0.32963625,0.3127194
0.24163401,0.16669539,0.08953358,0.15102041,0.12671128,0.32522362,0.5203202,0.32963622,0.99999976,0.2961681
0.6757679,0.31499714,0.35499525,0.40360135,0.27584788,0.54915553,0.29024333,0.31271946,0.2961681,0.99999976
