0,1,2,3,4,5,6,7,8,9,10
0.9999999,0.09859663,0.7835598,0.22433826,0.69199973,0.68987334,0.78344727,0.59099966,0.4994586,0.51057607,0.3709155
0.09859663,1.0000004,0.108611055,0.17464937,0.118699774,0.29370293,0.07485628,0.08882457,0.1595695,0.115831204,-0.01738453
0.7835598,0.108611055,0.99999994,0.48743087,0.7210169,0.70186985,0.7033896,0.52367187,0.5662674,0.5220703,0.3581868
0.22433826,0.17464937,0.48743087,1.0,0.4703741,0.36662757,0.20228608,0.2772232,0.3512314,0.3487049,0.13590205
0.69199973,0.118699774,0.7210169,0.4703741,1.0000005,0.67193115,0.7430643,0.51775455,0.5204459,0.6330037,0.40091082
0.68987334,0.29370293,0.70186985,0.36662757,0.67193115,0.99999994,0.6246612,0.46338695,0.49147063,0.42242533,0.30396852
0.78344727,0.07485628,0.7033896,0.20228608,0.7430643,0.6246612,1.0,0.51318794,0.52652407,0.6509297,0.5636492
0.59099966,0.08882457,0.52367187,0.2772232,0.51775455,0.46338695,0.51318794,1.0000002,0.68264973,0.52921665,0.30599457
0.4994586,0.1595695,0.5662674,0.35123134,0.52044594,0.49147063,0.52652407,0.6826498,0.99999964,0.44489133,0.3176872
0.51057607,0.1158312,0.5220703,0.34870493,0.6330037,0.42242533,0.6509298,0.52921665,0.44489133,0.99999994,0.6592686
0.37091553,-0.01738454,0.35818675,0.13590205,0.40091085,0.30396855,0.5636492,0.30599457,0.3176872,0.6592686,1.0000001
