0,1,2,3,4,5,6,7,8,9
1.0000005,0.59577096,0.09630066,0.124694645,0.18605027,0.03714277,0.16463894,0.5242225,0.5244731,0.5719636
0.59577096,1.0000002,0.21652803,0.2196627,0.24528238,0.12497843,0.19396068,0.55792385,0.53554446,0.60499203
0.09630066,0.21652803,1.0,0.25927883,0.12517898,0.2193515,0.2648,0.3087822,0.21674462,0.18560413
0.124694645,0.2196627,0.25927883,0.99999964,0.27098644,0.15074036,0.24599971,0.18497011,0.22062856,0.2826643
0.18605027,0.24528238,0.12517898,0.27098644,1.0000002,0.08013928,0.45531142,0.24680896,0.29667187,0.3179546
0.03714277,0.12497843,0.2193515,0.15074036,0.08013928,1.0000001,0.7336388,0.17039974,0.21836907,0.12485393
0.16463894,0.19396068,0.2648,0.24599971,0.45531142,0.7336388,1.0000002,0.22109528,0.23789378,0.16530886
0.5242225,0.55792385,0.3087822,0.18497011,0.24680896,0.17039974,0.22109528,1.0,0.8744947,0.52456003
0.5244731,0.5355445,0.21674462,0.22062856,0.29667184,0.21836907,0.23789376,0.8744947,1.0,0.540295
0.57196355,0.60499203,0.18560408,0.28266427,0.3179546,0.12485393,0.16530888,0.52456,0.540295,1.0
