0,1,2,3,4,5,6,7
0.9999995,0.8569778,0.08101321,0.16280119,0.13189486,0.90043527,0.8452935,0.8503921
0.8569778,1.0000005,0.059864994,0.41391438,0.14028925,0.7839678,0.7693209,0.83656055
0.08101321,0.059864994,0.9999999,0.17397201,0.1710692,0.12498024,0.22755685,0.104736194
0.16280119,0.41391438,0.17397201,0.99999994,0.35163742,0.15352577,0.16575001,0.22930719
0.13189486,0.14028925,0.1710692,0.35163742,0.9999996,0.19148901,0.32172656,0.17657554
0.90043527,0.7839678,0.12498024,0.15352577,0.19148901,1.0,0.8700619,0.77417386
0.8452935,0.7693209,0.22755685,0.16575001,0.32172656,0.8700619,0.99999994,0.8028253
0.8503921,0.83656055,0.104736194,0.22930719,0.17657554,0.77417386,0.8028253,0.9999999
