0,1,2,3,4,5,6,7,8,9,10,11
1.0000005,0.95350647,0.8680086,0.8024074,0.652336,0.6249418,0.899464,0.34424642,0.48844284,0.30712178,0.29331255,0.87236595
0.95350647,1.0000002,0.8292861,0.7746341,0.62907356,0.64005136,0.8636122,0.32354444,0.5281605,0.34696916,0.35044348,0.8486966
0.8680086,0.8292861,1.0000002,0.7273724,0.56436515,0.52879584,0.82388335,0.34108716,0.39227343,0.33610484,0.24653226,0.7487099
0.8024074,0.7746341,0.7273724,1.0000002,0.5007667,0.5008135,0.7655807,0.30465692,0.52547085,0.23428616,0.2324429,0.7606085
0.652336,0.62907356,0.56436515,0.5007667,1.0000007,0.546705,0.5550305,0.45070887,0.5214486,0.370845,0.2485731,0.4855966
0.6249418,0.64005136,0.52879584,0.5008135,0.546705,0.99999934,0.5640849,0.2766314,0.51045614,0.27397344,0.29544544,0.6081178
0.899464,0.8636122,0.82388335,0.7655807,0.5550305,0.5640849,1.0000005,0.36631572,0.45890427,0.36441654,0.29077876,0.83100176
0.34424642,0.32354444,0.34108716,0.30465692,0.45070887,0.2766314,0.36631572,0.99999994,0.3008538,0.36359197,0.32215542,0.26811802
0.48844284,0.5281605,0.39227343,0.52547085,0.5214486,0.51045614,0.45890427,0.3008538,1.0000002,0.22378159,0.22560969,0.43724436
0.30712178,0.34696916,0.33610484,0.23428616,0.370845,0.27397344,0.36441654,0.36359197,0.22378159,0.99999994,0.3900812,0.27834356
0.29331255,0.35044348,0.24653226,0.2324429,0.2485731,0.29544544,0.29077876,0.32215542,0.22560969,0.3900812,0.99999976,0.31611878
0.87236595,0.8486966,0.7487099,0.7606085,0.4855966,0.6081178,0.83100176,0.26811802,0.43724436,0.27834356,0.31611878,1.0000005
