0,1,2,3,4,5,6,7,8,9
1.0000002,0.4067675,0.2318821,0.19478717,0.26722687,0.25238666,0.29107085,0.22309385,0.31954047,0.16673501
0.4067675,1.0000005,0.07102967,0.016425837,0.10796775,0.36861777,0.48197287,0.30723566,0.18589383,0.29737172
0.2318821,0.07102967,1.0000002,0.7302303,0.819854,0.15151754,0.1538007,0.09986724,0.18848956,0.15020704
0.19478717,0.016425837,0.7302303,1.0,0.6871351,0.25281665,0.21033956,0.20220259,0.25620067,0.1992138
0.26722687,0.10796775,0.819854,0.6871351,1.0000002,0.25215048,0.22349691,0.22190583,0.47504318,0.34634572
0.25238666,0.36861777,0.15151754,0.25281665,0.25215048,0.99999964,0.9374656,0.90637195,0.25553295,0.8749689
0.29107085,0.48197287,0.1538007,0.21033956,0.22349691,0.9374656,0.99999994,0.8508486,0.2480542,0.8248749
0.22309385,0.30723566,0.09986724,0.20220259,0.22190583,0.90637195,0.8508486,0.99999994,0.2627275,0.84621894
0.3195405,0.18589386,0.18848959,0.25620067,0.47504318,0.25553292,0.24805422,0.26272753,1.0000005,0.35639137
0.16673501,0.2973717,0.15020704,0.19921377,0.34634572,0.8749689,0.8248749,0.846219,0.35639137,0.9999997
