0,1,2,3,4,5,6,7,8,9,10,11
0.9999999,0.5003633,0.34875846,0.13698949,0.17623124,0.22773886,0.33487466,0.42569566,0.31166303,0.29337552,0.20735002,0.16797931
0.5003633,1.0000005,0.60758185,0.20440051,0.14761525,0.29487228,0.18254071,0.6738051,0.25151503,0.15398085,0.28964967,0.13032469
0.34875846,0.60758185,1.0000005,0.09330415,0.11035611,0.17821544,0.07901631,0.6300807,0.24177329,0.18967126,0.1517992,0.06704824
0.13698949,0.20440051,0.09330415,1.0000002,0.28631505,0.4906382,0.34147522,0.18753423,0.19402966,0.14889224,0.14279738,0.10020718
0.17623124,0.14761525,0.11035611,0.28631505,0.9999999,0.20388713,0.13995755,0.11949632,0.16600144,0.13809624,0.011590535,-0.022125734
0.22773886,0.29487228,0.17821544,0.4906382,0.20388713,1.0,0.39586976,0.27748966,0.41840214,0.14381202,0.22384281,0.04963392
0.33487466,0.18254071,0.07901631,0.34147522,0.13995755,0.39586976,0.9999998,0.17831096,0.2528466,0.13429953,0.21480489,0.1018203
0.42569566,0.6738051,0.6300807,0.18753423,0.11949632,0.27748966,0.17831096,1.0,0.26383293,0.1545996,0.16865899,0.095208876
0.31166303,0.25151503,0.24177329,0.19402966,0.16600144,0.41840214,0.2528466,0.26383293,1.0,0.5255585,0.10152465,-0.059125416
0.29337552,0.15398085,0.18967126,0.14889224,0.13809624,0.14381202,0.13429953,0.1545996,0.5255585,1.0,0.09040628,0.014976924
0.20735002,0.28964967,0.1517992,0.14279738,0.011590535,0.22384281,0.21480489,0.16865899,0.10152465,0.09040628,1.0,0.6416391
0.16797931,0.13032469,0.06704824,0.10020718,-0.022125734,0.04963392,0.1018203,0.095208876,-0.059125416,0.014976924,0.6416391,0.99999976
